stim	onset	rt	response	error_onset	error_duration
2	0.6457851227869469	1.4289047363772625	0	0.6457851227869469	1.4289047363772625
1	6.685787859271841	1.2293222137186604	1	nil	nil
3	10.725790485802463	1.1647148040210595	1	nil	nil
4	18.765807045077054	2.141198525479922	1	nil	nil
1	22.80577854927469	1.4126578348086696	1	nil	nil
1	28.845823140139146	1.0286679993714642	1	nil	nil
4	36.899168901060875	1.8557331081892698	1	nil	nil
1	42.93916107694713	1.4556341492434512	1	nil	nil
1	48.97918137332181	1.311603478089637	1	nil	nil
4	55.01918853436928	1.3035129829286234	1	nil	nil
2	61.060517241056004	1.854182859874527	1	nil	nil
1	67.11257040532564	1.0179734970724894	1	nil	nil
2	71.16585236919127	1.38064487126303	0	71.16585236919127	1.38064487126303
2	79.20587959133172	2.052032539035281	1	nil	nil
3	83.24586676046692	1.4444437560159713	1	nil	nil
2	91.28589665358777	2.4205019614591947	1	nil	nil
1	97.3258927577399	1.2683884147236313	1	nil	nil
2	101.36588322950593	1.4682923152504372	1	nil	nil
4	107.40589191854633	1.3723366220392563	1	nil	nil
1	115.44592064762492	1.1397024945181329	1	nil	nil
2	123.49924687850853	1.6063020526980836	0	123.49924687850853	1.6063020526980836
4	129.53924617099347	1.254154087682764	1	nil	nil
3	137.57927069207472	2.7184859980752663	1	nil	nil
3	143.61925104105376	1.790571479132268	1	nil	nil
1	151.65927072549584	1.293949439201242	1	nil	nil
3	157.69929128355398	1.6942633518929142	1	nil	nil
2	165.73929148307525	1.6621995164023247	1	nil	nil
3	169.77931739044652	1.5988673854335502	1	nil	nil
2	177.81931780954164	1.8380360087694498	1	nil	nil
3	181.859327799315	1.566103882479183	1	nil	nil
3	187.89933120956084	3.1815891559945157	0	187.89933120956084	3.1815891559945157
4	191.93930250320773	1.4780627125555839	1	nil	nil
1	199.97933455898055	1.2619251721162072	1	nil	nil
4	208.01934267819888	1.6215488586840365	1	nil	nil
4	216.0593584313665	1.8212578648872295	1	nil	nil
3	220.09935216064605	1.6371344430108365	1	nil	nil
4	224.13933828304562	1.6377795238222461	1	nil	nil
2	232.1793606926094	1.2856829781831038	1	nil	nil
4	236.21936550886312	1.701053353430325	1	nil	nil
3	244.2593847180624	2.1253729920863407	1	nil	nil
1	252.29938698097612	1.2368238088874932	1	nil	nil
4	258.339401014985	1.2453441182951792	1	nil	nil
1	262.37940949180484	1.5972858824388823	1	nil	nil
4	268.4193918380033	1.2051199030129283	1	nil	nil
1	274.4594270022317	1.301098052911584	1	nil	nil
3	282.49941985655823	1.29311306447471	1	nil	nil
1	290.5394372820965	1.372435412210507	1	nil	nil
4	298.57942912878934	1.6608150643687623	1	nil	nil
1	304.6194498763434	1.4047955580590497	1	nil	nil
2	310.6594534881151	1.8686537611620224	1	nil	nil
1	314.69944999064137	1.5241945674688395	1	nil	nil
2	322.73946594232893	1.420111412490769	1	nil	nil
4	328.77947693539045	1.764491667891889	1	nil	nil
3	332.8194896863797	1.932386304542888	1	nil	nil
2	336.8594939521945	1.50043059528889	1	nil	nil
1	344.8995086796822	1.0063190300652423	1	nil	nil
2	350.9528366113436	1.0864592571924732	0	350.9528366113436	1.0864592571924732
1	355.00618236290757	1.657068310852992	1	nil	nil
2	359.04635796548246	3.4728395132615333	0	359.04635796548246	3.4728395132615333
2	365.0861939792658	1.457010149189955	1	nil	nil
1	371.1261901255275	1.1693512796773575	1	nil	nil
3	375.16619741123395	2.169268731284319	1	nil	nil
3	381.206196655593	1.4569066396852577	1	nil	nil
2	387.2462075824815	1.6172540338757244	1	nil	nil
3	395.28621907050365	1.2257391991070108	1	nil	nil
4	399.3262304228383	1.4885695424036385	1	nil	nil
2	407.3662203294598	1.20057596418701	1	nil	nil
2	415.40625517051103	1.36892180698851	1	nil	nil
3	419.44624545879833	1.120490266564957	1	nil	nil
3	425.49958588812024	1.2753570681397832	1	nil	nil
4	429.53957488904325	1.0994481314501172	1	nil	nil
4	437.5929410823619	1.6374616771845467	1	nil	nil
1	441.6329255323917	1.758010633790036	1	nil	nil
3	447.67294624986516	1.4618003987088741	1	nil	nil
3	455.71295504885984	1.053703746123574	1	nil	nil
4	459.7662855776425	1.4324492834603006	1	nil	nil
4	467.8062947766821	1.168367396463509	1	nil	nil
3	473.84630337247927	1.727808300023753	1	nil	nil
2	481.88630937115613	1.2162177503869316	1	nil	nil
4	487.926316499118	1.8316795813061617	1	nil	nil
1	491.96631484846966	1.328108060062732	1	nil	nil
4	496.00632824915647	1.3515480766400287	1	nil	nil
4	502.04652338043434	1.407343922785003	1	nil	nil
1	510.08632570484133	1.4473776713130064	1	nil	nil
3	514.1263416772499	1.4317918764372735	1	nil	nil
4	522.1663665953683	1.00777131236282	1	nil	nil
1	528.2196989124905	1.057800939455774	1	nil	nil
2	532.2730382302407	1.6450431069861224	1	nil	nil
1	536.3130509391203	1.0845134992778185	1	nil	nil
1	542.3663871604449	0.9191045315092197	1	nil	nil
2	546.4196947572991	0.9781508371870586	1	nil	nil
1	550.4730493670113	1.0128012733275682	1	nil	nil
4	556.526398922183	1.574877559021843	1	nil	nil
2	562.5663981635344	1.7188012044807692	1	nil	nil
1	570.6064057443446	1.11877870367789	1	nil	nil
2	576.6597655533124	1.465843342266453	1	nil	nil
1	580.6997610873086	2.0497738673730055	1	nil	nil
2	586.7397476384949	1.5858396586427261	1	nil	nil
2	592.7797651525989	1.353599001391558	1	nil	nil
3	596.819762653734	1.5296340245840838	1	nil	nil
1	600.859777835075	1.297103960016102	1	nil	nil
3	606.8997876610874	1.9770602494518243	1	nil	nil
2	610.939776628923	1.7134502536628133	1	nil	nil
2	618.9797796227476	1.0813399356993614	1	nil	nil
3	623.0331322232096	1.325693277432947	1	nil	nil
4	627.0731470766941	1.5559550060825131	1	nil	nil
3	633.1131571222786	1.5793507649996172	1	nil	nil
3	641.1531537514702	1.3153299044843152	1	nil	nil
2	645.1931602370851	1.3397529560588737	1	nil	nil
3	649.2331701005287	1.8837246584407694	1	nil	nil
4	657.2731764691716	1.331745056748332	1	nil	nil
4	665.3131814963099	1.1151062834196637	1	nil	nil
2	669.3665165248503	1.69377046581576	1	nil	nil
3	675.4065216676236	1.4301459300313581	1	nil	nil
4	681.4465143187526	1.2376884394543595	1	nil	nil
3	689.4865347972691	1.1659276395639608	1	nil	nil
3	697.5265550682443	1.2539587722567376	1	nil	nil
4	705.5665609796933	1.2532261296200886	1	nil	nil
1	709.606557638629	1.077844025721788	1	nil	nil
4	717.6598893468263	1.287908391932433	1	nil	nil
