stim,onset,rt,response,error_onset,error_duration
2,0.5538830983314256,3.8000711829809006,nil,nil,nil
1,6.620477310263595,3.8001340436276223,nil,nil,nil
3,10.673765455401735,3.800098722675102,nil,nil,nil
4,18.727021148388303,3.7238901483524387,0.0,18.727021148388303,3.7238901483524387
1,22.766985786998703,3.800048600189257,nil,nil,nil
1,28.820254013950034,3.8000167081645486,nil,nil,nil
4,36.87350595617136,2.9371338524633757,0.0,36.87350595617136,2.9371338524633757
1,42.91344773192759,1.0731303349712107,1.0,nil,nil
1,48.96669032013233,3.8000395616600144,nil,nil,nil
4,55.01996218655768,3.8001421256685717,nil,nil,nil
2,61.073225670161264,1.4484560789933312,0.0,61.073225670161264,1.4484560789933312
1,67.11318663587554,3.8001603651500773,nil,nil,nil
2,71.16671190632951,3.379151230035859,0.0,71.16671190632951,3.379151230035859
2,79.2063854915632,3.8001330811221123,nil,nil,nil
3,83.2596673894368,3.800061130810718,nil,nil,nil
2,91.31291139098721,3.800052823182341,nil,nil,nil
1,97.36617047413347,0.8433846523785178,1.0,nil,nil
2,101.41948279621283,3.149342187494767,1.0,nil,nil
4,107.45940895832064,3.2613633529290382,1.0,nil,nil
1,115.49932898111365,2.26984285857543,1.0,nil,nil
2,123.53923260822376,3.800045932242938,nil,nil,nil
4,129.5924900280388,3.800157191888502,nil,nil,nil
3,137.64574706251915,1.9385105832188856,0.0,137.64574706251915,1.9385105832188856
3,143.68568875104756,1.3229629435300012,0.0,143.68568875104756,1.3229629435300012
1,151.72560859337136,1.4668403112773376,1.0,nil,nil
3,157.76555171362816,3.8000897834026546,nil,nil,nil
2,165.81876656027816,2.693324460344229,1.0,nil,nil
3,169.85875725872938,1.2693234921571275,0.0,169.85875725872938,1.2693234921571275
2,177.8986474438443,1.9812684923090274,1.0,nil,nil
3,181.93862414987052,2.572664039047595,1.0,nil,nil
3,187.97854802903566,2.9651916973853076,1.0,nil,nil
4,192.0185018755492,2.6046607942680566,1.0,nil,nil
1,200.0584012977106,1.7724764119266183,1.0,nil,nil
4,208.09833126439116,2.3409019761438685,1.0,nil,nil
4,216.138254899588,2.3729933486847585,1.0,nil,nil
3,220.17821175994868,2.4603193513776205,1.0,nil,nil
4,224.21816921886602,3.3403324237442575,1.0,nil,nil
2,232.25806189446484,3.684693561572203,1.0,nil,nil
4,236.29803132153938,2.388662295175891,1.0,nil,nil
3,244.3379376286266,2.9646793255105877,1.0,nil,nil
1,252.37785370514575,1.3245833098844741,1.0,nil,nil
4,258.41780794535043,2.956468694501382,1.0,nil,nil
1,262.45775158930337,1.1725649363834236,1.0,nil,nil
4,268.4976855055993,1.0684806502922584,0.0,268.4976855055993,1.0684806502922584
1,274.5509689040464,1.2950305371650757,1.0,nil,nil
3,282.59086890070466,3.8001435213009245,nil,nil,nil
1,290.64410513002076,1.793599616668871,1.0,nil,nil
4,298.68403696155656,3.800008725382213,nil,nil,nil
1,304.7372884138367,1.2522561211026186,1.0,nil,nil
2,310.77722946470567,0.8679440446630906,0.0,310.77722946470567,0.8679440446630906
1,314.83052745146415,1.5427710402746015,1.0,nil,nil
2,322.8704245726367,1.334042662732827,0.0,322.8704245726367,1.334042662732827
4,328.9103636533764,1.7265981916261808,1.0,nil,nil
3,332.95032014076605,2.350481118846801,1.0,nil,nil
2,336.99029511127264,1.1980083149792335,0.0,336.99029511127264,1.1980083149792335
1,345.03019951741044,1.7578745443970547,1.0,nil,nil
2,351.0701367032161,2.317825290840119,1.0,nil,nil
1,355.1101002981086,2.4857398133135575,1.0,nil,nil
2,359.15005587111773,1.4938175359857269,0.0,359.15005587111773,1.4938175359857269
2,365.18997077190943,1.9742895678409695,1.0,nil,nil
1,371.22992441656424,3.3177063054135942,1.0,nil,nil
3,375.2698681838374,1.5016338975783583,1.0,nil,nil
3,381.3098055290593,1.782136332918526,0.0,381.3098055290593,1.782136332918526
2,387.3497227158023,2.5499563874618616,1.0,nil,nil
3,395.3896599915115,1.4214576310332632,1.0,nil,nil
4,399.429611789692,3.0293962071264104,1.0,nil,nil
2,407.4695139219093,1.6533113004188635,0.0,407.4695139219093,1.6533113004188635
2,415.50944690243523,2.1732755165940034,1.0,nil,nil
3,419.5493950160253,2.325661961305741,1.0,nil,nil
3,425.5893477974314,2.9336440322986164,1.0,nil,nil
4,429.62929306862134,2.5330837553774472,1.0,nil,nil
4,437.66920280463455,1.4450670271617128,0.0,437.66920280463455,1.4450670271617128
1,441.709167960591,1.0450792095416546,1.0,nil,nil
3,447.7624480143295,0.9842538318098377,0.0,447.7624480143295,0.9842538318098377
3,455.81567669399374,1.8102560519218969,1.0,nil,nil
4,459.85562254569413,3.8001484721899033,nil,nil,nil
4,467.9088586546968,1.3089004431531066,1.0,nil,nil
3,473.9488024637467,3.800123519229601,nil,nil,nil
2,482.00211299549846,1.7672753377974004,1.0,nil,nil
4,488.0419877628083,2.431799554840836,1.0,nil,nil
1,492.08193517858126,1.1593223043983016,1.0,nil,nil
